date,net_sales_actual,yhat,yhat_lower,yhat_upper,model,is_forecast
2025-09-19,3141.36,,,,prophet,False
2025-09-20,3612.48,,,,prophet,False
2025-09-21,2910.19,,,,prophet,False
2025-09-22,0.0,,,,prophet,False
2025-09-23,2445.72,,,,prophet,False
2025-09-24,1931.97,,,,prophet,False
2025-09-25,1711.13,,,,prophet,False
2025-09-26,2957.5,,,,prophet,False
2025-09-27,3997.0,,,,prophet,False
2025-09-28,2558.97,,,,prophet,False
2025-09-29,0.0,,,,prophet,False
2025-09-30,2387.74,,,,prophet,False
2025-10-01,2160.63,,,,prophet,False
2025-10-02,2707.34,,,,prophet,False
2025-10-03,4034.83,,,,prophet,False
2025-10-04,6533.03,,,,prophet,False
2025-10-05,3478.49,,,,prophet,False
2025-10-06,0.0,,,,prophet,False
2025-10-07,2256.81,,,,prophet,False
2025-10-08,1997.25,,,,prophet,False
2025-10-09,1721.67,,,,prophet,False
2025-10-10,2831.35,,,,prophet,False
2025-10-11,4176.83,,,,prophet,False
2025-10-12,2913.95,,,,prophet,False
2025-10-13,0.0,,,,prophet,False
2025-10-14,2043.79,,,,prophet,False
2025-10-15,2580.52,,,,prophet,False
2025-10-16,2243.68,,,,prophet,False
2025-10-17,3056.72,,,,prophet,False
2025-10-18,4007.56,,,,prophet,False
2025-10-19,2758.63,,,,prophet,False
2025-10-20,0.0,,,,prophet,False
2025-10-21,1957.41,,,,prophet,False
2025-10-22,2113.54,,,,prophet,False
2025-10-23,2006.96,,,,prophet,False
2025-10-24,2539.24,,,,prophet,False
2025-10-25,4506.3,,,,prophet,False
2025-10-26,2024.86,,,,prophet,False
2025-10-27,0.0,,,,prophet,False
2025-10-28,2122.52,,,,prophet,False
2025-10-29,2285.05,,,,prophet,False
2025-10-30,1797.15,,,,prophet,False
2025-10-31,2436.32,,,,prophet,False
2025-11-01,3687.9,,,,prophet,False
2025-11-02,2182.18,,,,prophet,False
